停止理由,セル番号,停止開始時刻,停止解消時刻,停止時間,大工程,中工程,MU名
故障,CROSSTAR_1,2024/05/29 21:17:07.6299,2024/05/29 21:17:18.8238,11.1940,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 21:54:07.5514,2024/05/29 21:54:20.3039,12.7525,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 22:15:28.3347,2024/05/29 22:15:54.6892,26.3545,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 22:19:19.3284,2024/05/29 22:19:44.6172,25.2888,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 22:37:32.5235,2024/05/29 22:38:15.3791,42.8556,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 22:40:33.8329,2024/05/29 22:41:52.1018,1:18.2689,JSS_WE,RRDOOR,SubPart:8188
故障,CROSSTAR_1,2024/05/29 22:57:27.2410,2024/05/29 22:58:15.5874,48.3464,JSS_WE,RRDOOR,SubPart:8188
初期配置,G_29,2024/05/29 11:30:00.0000,2024/05/29 23:30:00.0000,12:00:00.0000,JSS_AF,G,WhiteBody:2257
初期配置,F_1,2024/05/29 11:30:00.0000,2024/05/29 23:30:00.0000,12:00:00.0000,JSS_AF,F,WhiteBody:2321
初期配置,D_1,2024/05/29 11:53:15.0000,2024/05/29 23:30:00.0000,11:36:45.0000,JSS_AF,D,WhiteBody:2370
初期配置,PBS_off,2024/05/29 11:53:15.0000,2024/05/29 23:30:00.0000,11:36:45.0000,JSS_PA,PBS,WhiteBody:2484
初期配置,C_1,2024/05/29 11:53:15.0000,2024/05/29 23:30:00.0000,11:36:45.0000,JSS_AF,C,WhiteBody:2399
初期配置,B_21,2024/05/29 11:53:15.0000,2024/05/29 23:30:00.0000,11:36:45.0000,JSS_AF,B,WhiteBody:2407
初期配置,liquidWrapping_1,2024/05/29 11:53:15.0000,2024/05/29 23:30:00.0000,11:36:45.0000,JSS_PA,liquidWrapping,WhiteBody:2576
初期配置,sealer_4,2024/05/29 12:30:00.0000,2024/05/29 23:30:00.0000,11:00:00.0000,JSS_PA,sealer,WhiteBody:2911
初期配置,WBS_CarryZone,2024/05/29 12:30:00.0000,2024/05/29 23:30:00.0000,11:00:00.0000,JSS_WE,WBS_CarryZone,WhiteBody:3055
初期配置,F2_7,2024/05/29 12:30:00.0000,2024/05/29 23:30:00.0000,11:00:00.0000,JSS_WE,F2,WhiteBody:3111
初期配置,INNFRM_GW_9,2024/05/29 12:30:00.0000,2024/05/29 23:30:00.0000,11:00:00.0000,JSS_WE,INNFRM_GW,WhiteBody:3171
初期配置,SR_10,2024/05/29 12:30:00.0000,2024/05/29 23:30:00.0000,11:00:00.0000,JSS_WE,SR,WhiteBody:3152
初期配置,PBS_off,2024/05/29 23:30:00.0000,2024/05/30 00:00:00.0000,30:00.0000,JSS_PA,PBS,void
初期配置,WBS_CarryZone,2024/05/29 23:30:00.0000,2024/05/30 00:00:00.0000,30:00.0000,JSS_WE,WBS_CarryZone,WhiteBody:3055
故障,CROSSTAR_1,2024/05/30 00:00:41.2442,2024/05/30 00:01:33.4974,52.2532,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 00:38:29.8299,2024/05/30 00:39:03.1472,33.3174,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 00:50:10.8159,2024/05/30 00:50:38.3936,27.5776,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 00:58:22.4978,2024/05/30 00:58:29.8461,7.3483,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 00:58:54.9831,2024/05/30 00:59:22.5314,27.5483,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 01:21:45.4768,2024/05/30 01:22:07.8391,22.3623,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 01:25:15.6702,2024/05/30 01:25:23.2644,7.5942,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 01:29:03.2379,2024/05/30 01:29:35.9420,32.7041,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 02:37:19.5477,2024/05/30 02:37:53.2023,33.6546,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 03:27:04.6975,2024/05/30 03:27:24.1286,19.4311,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 03:44:53.4554,2024/05/30 03:45:09.3002,15.8448,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 04:32:23.2326,2024/05/30 04:33:10.1149,46.8823,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 04:56:31.2410,2024/05/30 04:56:33.2265,1.9855,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 05:24:14.1913,2024/05/30 05:24:53.1577,38.9664,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 06:15:01.8460,2024/05/30 06:15:34.7428,32.8967,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 06:23:45.5720,2024/05/30 06:25:11.1895,1:25.6174,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 06:51:36.0087,2024/05/30 06:51:42.3879,6.3791,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 07:04:31.7302,2024/05/30 07:05:40.6689,1:08.9388,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 07:22:29.5937,2024/05/30 07:22:55.5115,25.9178,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 07:35:31.2711,2024/05/30 07:35:57.2344,25.9633,JSS_WE,RRDOOR,SubPart:8193
故障,CROSSTAR_1,2024/05/30 07:40:43.3216,2024/05/30 07:41:12.2314,28.9097,JSS_WE,RRDOOR,SubPart:8193
故障,TGSub_1,2024/05/30 07:57:10.6337,2024/05/30 07:57:32.1427,21.5090,JSS_WE,TGSub,SubPart:8195
故障,sealer_1,2024/05/30 07:58:01.5780,2024/05/30 07:58:09.2107,7.6327,JSS_PA,sealer,WhiteBody:2917
故障,G_1,2024/05/30 07:57:41.8673,2024/05/30 07:58:10.4578,28.5905,JSS_AF,G,WhiteBody:2287
故障,A_1,2024/05/30 07:59:03.0418,2024/05/30 07:59:34.4752,31.4334,JSS_AF,A,WhiteBody:2483
機種CH,SR_1,2024/05/30 07:59:50.0000,2024/05/30 08:01:50.0000,2:00.0000,JSS_WE,SR,WhiteBody:3166
故障,sealer_1,2024/05/30 08:02:48.9643,2024/05/30 08:03:15.1073,26.1430,JSS_PA,sealer,WhiteBody:2921
故障,sealerOV_1,2024/05/30 08:02:44.0153,2024/05/30 08:03:36.0057,51.9904,JSS_PA,sealerOV,WhiteBody:2890
故障,insertJig_1,2024/05/30 08:03:57.6764,2024/05/30 08:04:06.5592,8.8828,JSS_PA,insertJig,WhiteBody:3064
故障,F2_1,2024/05/30 08:04:25.5447,2024/05/30 08:04:40.3820,14.8373,JSS_WE,F2,WhiteBody:3126
故障,liquidWrapping_1,2024/05/30 08:06:49.8959,2024/05/30 08:07:19.4671,29.5712,JSS_PA,liquidWrapping,WhiteBody:2587
故障,F3_1,2024/05/30 08:08:05.3609,2024/05/30 08:08:31.3447,25.9838,JSS_WE,F3,WhiteBody:3118
故障,sealerOV_1,2024/05/30 08:08:32.6337,2024/05/30 08:08:55.1524,22.5187,JSS_PA,sealerOV,WhiteBody:2895
故障,sealer_1,2024/05/30 08:09:18.7382,2024/05/30 08:09:20.3091,1.5709,JSS_PA,sealer,WhiteBody:2927
故障,F_1,2024/05/30 08:08:14.0010,2024/05/30 08:10:45.3380,2:31.3370,JSS_AF,F,WhiteBody:2334
故障,coatingInspection_1,2024/05/30 08:10:35.2892,2024/05/30 08:10:51.4117,16.1225,JSS_PA,coatingInspection,WhiteBody:2681
故障,liquidWrapping_1,2024/05/30 08:12:57.4452,2024/05/30 08:13:41.0271,43.5819,JSS_PA,liquidWrapping,WhiteBody:2593
故障,INNFRM_GW_1,2024/05/30 08:07:18.3749,2024/05/30 08:14:23.6846,7:05.3097,JSS_WE,INNFRM_GW,WhiteBody:3191
故障,liquidWrapping_1,2024/05/30 08:16:37.0308,2024/05/30 08:17:09.5139,32.4830,JSS_PA,liquidWrapping,WhiteBody:2596
